codigo_modular;nombre_institucion;departamento;provincia;distrito;ruralidad;latitud;longitud;tipo_servicio_basico;descripcion_servicio_basico;CONSUMO;DEUDA;VALOR_TOTAL;INDICADOR_PAGO;DESCRIPCION_INDICADOR_PAGO;fecha_corte;registro_servicio_basico;carencia_confirmada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO MARZO 2021;0.00;0.00;6.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO ABRIL 2021;1.00;0.00;6.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;servicio de energia electrica nivel inicial consumo mayo 2021;0.00;0.00;6.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO JUNIO 2021;5.00;0.00;10.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO JULIO 2021;1.00;0.00;7.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO AGOSTO 2021;1.00;0.00;7.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ DE INICIAL CONSUMO SETIEMBRE 2021;0.00;0.00;6.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO OCTUBRE 2021;0.00;0.00;6.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO NOVIEMBRE 2021;2.00;0.00;14.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO DICIEMBRE 2021;0.00;0.00;6.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO ENERO 2022;1.00;0.00;7.50;1;PAGO;20250525;Encontrado;No determinada
